,dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
160,ecoli,MCAR(0.2),softimpute,0.09854277163,0.09854277163,0.0,0.0,0.135317701,0.4257095742,1.47e-34,1.2e-16,0.0,0.0,0.6460630065,2.12,0.0,0.7654576206,0.0,0.3967520396,0.0,0.7508172861,0.0,0.6712250795
161,ecoli,MCAR(0.2),GAIN,0.1169290658,0.1186205073,0.0,0.0,0.162015487,0.4460215126,4.06e-06,0.00678,0.006281046939,0.0,0.6650068323,12.1,0.0,0.7615143842,0.0,0.3492701047,0.0,0.7858962439,0.0,0.7633465962
162,yeast,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,0.3176505118,2.4999999999999997e-34,1.34e-16,0.0,0.0,0.5159895897,5.01e-06,0.0,0.5386445957,0.0,0.4064941104,0.0,0.5586396039,0.0,0.5601800486
163,yeast,MCAR(0.2),KNN(n_neighbors=1),0.08345045286,0.08345045286,0.0,0.0,0.1189103557,0.3287315814,3.38e-34,1.38e-16,0.0,0.0,0.4521014693,0.06410423915,0.0,0.5275296746,0.0,0.3401716219,0.0,0.4722882028,0.0,0.4684163779
164,yeast,MCAR(0.2),MissForest,0.05268680763,0.06302593709,0.0,0.0,0.09864960725,0.3173504341,0.0002622154661,0.04661908841,0.04265532771,0.0,0.4617906403,39.85651374,0.0,0.5218199484,0.0,0.3282926926,0.0,0.4781483884,0.0,0.5189015319
165,yeast,MCAR(0.2),miceforest,0.03947276262,0.0754695151,0.0,0.0,0.1113651078,0.3203977748,0.003941956704,0.2001589472,0.182831737,0.0,0.4365429824,32.1274302,0.0,0.5354951786,0.0,0.2634246053,0.0,0.4673286132,0.0,0.4799235325
166,yeast,MCAR(0.2),ice,0.05128862241,0.1115143473,0.0,0.0,0.1619656998,0.3603148575,0.01040737819,0.385,0.3546720305,0.0,0.4403767126,1.305329641,0.0,0.5406570389,0.0,0.2559434352,0.0,0.4532542827,0.0,0.5116520937
167,yeast,MCAR(0.2),OT,0.04386455181,0.07723244902,0.0,0.0,0.1155350576,0.3261186165,0.00273,0.1747936559,0.1582104666,0.0,0.4759965408,512.1384935,0.0,0.5451842677,0.0,0.3500905473,0.0,0.4768927293,0.0,0.5318186188
168,yeast,MCAR(0.2),softimpute,0.08109837916,0.08109837916,0.0,0.0,0.1294412542,0.3380590184,1.8999999999999998e-34,1.28e-16,0.0,0.0,0.4604899716,7.477202257,0.0,0.5191246439,0.0,0.3524903273,0.0,0.496936717,0.0,0.473408198
169,yeast,MCAR(0.2),GAIN,0.07448639166,0.07604360635,0.0,0.0,0.1207251792,0.3286584511,3.8e-06,0.00651,0.006028369649,0.0,0.457,13.75710233,0.0,0.5356761165,0.0,0.3317788476,0.0,0.4713821626,0.0,0.4874063391
170,libras,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,8.906211955,6.479999999999999e-34,1.95e-16,0.0,0.0,0.588410903,5.48e-06,0.0,0.7145750546,0.0,0.07820754173,0.0,0.8112754159,0.0,0.7495855996
171,libras,MCAR(0.2),KNN(n_neighbors=1),0.06165602502,0.06165602502,0.0,0.0,1.112213759,9.041138703,6.6e-34,1.96e-16,0.0,0.0,0.5589171207,0.0396,0.0,0.6932275132,0.0,0.0473273671,0.0,0.7821369495,0.0,0.712976653
172,libras,MCAR(0.2),MissForest,0.01369958479,0.01516153252,0.0,0.0,0.2735496577,8.887477341,3.11e-05,0.0159,0.0145296032,0.0,0.5860134527,1263.066631,0.0,0.718965331,0.0,0.08205323836,0.0,0.8055874052,0.0,0.7374478361
173,libras,MCAR(0.2),miceforest,0.01451597481,0.01773734462,0.0,0.0,0.3200038342,8.893332872,0.000181,0.0466,0.04154934046,0.0,0.5764131301,312.0924911,0.0,0.700342571,0.0,0.05354226997,0.0,0.809822686,0.0,0.7419449933
174,libras,MCAR(0.2),ice,0.007785911281,0.009905953015,0.0,0.0,0.1787184932,8.912335214,8.18e-05,0.03221011039,0.02989692776,0.0,0.5833273895,57.97427281,0.0,0.7235198121,0.0,0.06682708403,0.0,0.8066841504,0.0,0.7362785116
175,libras,MCAR(0.2),OT,0.08417767088,0.09950568947,0.0,0.0,1.795192354,9.209110343,0.0009050466486,0.1180611251,0.1095812153,0.0,0.5506187022,500.6890175,0.0,0.7098221466,0.0,0.0380743195,0.0,0.7777692875,0.0,0.6768090551
176,libras,MCAR(0.2),softimpute,0.06173403593,0.06173403593,0.0,0.0,0.8218907007,9.242171331,5.08e-34,1.91e-16,0.0,0.0,0.5653059023,84.85960666,0.0,0.686042846,0.0,0.05458636982,0.0,0.8063927924,0.0,0.7142016009
177,libras,MCAR(0.2),GAIN,0.04423318419,0.0444625541,0.0,0.0,0.8002841922,9.174080655,4.47e-07,0.002477735469,0.002302114087,0.0,0.5768558328,41.8196609,0.0,0.7204049037,0.0,0.05432671927,0.0,0.8018638201,0.0,0.7308278882
178,planning_relax,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,1.444708645,5.19e-34,1.78e-16,0.0,0.0,0.4314188016,6.28e-06,0.0,0.3994260604,0.0,0.3970594979,0.0,0.448442713,0.0,0.4807469349
179,planning_relax,MCAR(0.2),KNN(n_neighbors=1),0.1395167141,0.1395167141,0.0,0.0,0.3262920968,1.501606359,4.22e-34,1.75e-16,0.0,0.0,0.456,0.008369922638,0.0,0.4031222807,0.0,0.5133829778,0.0,0.448750676,0.0,0.4582865115
180,planning_relax,MCAR(0.2),MissForest,0.06236072387,0.07192170963,0.0,0.0,0.1685588036,1.428177143,0.000263,0.047,0.0426,0.0,0.4621236154,90.1,0.0,0.433575575,0.0,0.4671082751,0.0,0.4579132967,0.0,0.489897315
181,planning_relax,MCAR(0.2),miceforest,0.04978730844,0.08068526099,0.0,0.0,0.1891204,1.439373529,0.00295,0.177,0.16096732,0.0,0.4548670811,17.1,0.0,0.4180672582,0.0,0.4649815152,0.0,0.4549786237,0.0,0.4814409272
182,planning_relax,MCAR(0.2),ice,0.03173456331,0.06272200077,0.0,0.0,0.1467433439,1.449971317,0.00393,0.186,0.1736089371,0.0,0.4775933976,2.334850788,0.0,0.4359611563,0.0,0.5108125196,0.0,0.456061046,0.0,0.5075388687
183,planning_relax,MCAR(0.2),OT,0.08225019004,0.1012939975,0.0,0.0,0.2374828773,1.436219101,0.00125,0.105,0.0963,0.0,0.456835139,639.4485626,0.0,0.4285729564,0.0,0.4489568845,0.0,0.4642498642,0.0,0.4855608509
184,planning_relax,MCAR(0.2),softimpute,0.05842388367,0.05842388367,0.0,0.0,0.1369019743,1.417406107,4.31e-34,1.76e-16,0.0,0.0,0.4700098388,5.109567245,0.0,0.4275969628,0.0,0.5396150976,0.0,0.4534549434,0.0,0.4593723515
185,planning_relax,MCAR(0.2),GAIN,0.0911378482,0.09275393682,0.0,0.0,0.2174688681,1.43659938,3.78e-06,0.007369778777,0.00683,0.0,0.4836080612,21.57692854,0.0,0.430966726,0.0,0.4878435582,0.0,0.4544591142,0.0,0.5611628464
186,blood_transfusion,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,0.1082559128,1.7999999999999998e-34,8.35e-17,0.0,0.0,0.6011942398,6.44e-06,0.0,0.5654270943,0.0,0.6518887858,0.0,0.5935972385,0.0,0.5938638405
187,blood_transfusion,MCAR(0.2),KNN(n_neighbors=1),0.1183399128,0.1183399128,0.0,0.0,0.06680874454,0.1314513658,1.19e-34,8.38e-17,0.0,0.0,0.5798212613,0.01491371791,0.0,0.5554850547,0.0,0.5567876952,0.0,0.6107785828,0.0,0.5962337126
188,blood_transfusion,MCAR(0.2),MissForest,0.04385028249,0.05343478721,0.0,0.0,0.03037807072,0.111072608,0.000458,0.0407,0.03654517331,0.0,0.6083050583,26.20872712,0.0,0.561233529,0.0,0.6483238472,0.0,0.6047309035,0.0,0.6189319535
189,blood_transfusion,MCAR(0.2),miceforest,0.02730019858,0.06549039412,0.0,0.0,0.02978616152,0.1122248377,0.00525,0.185,0.1654649137,0.0,0.597,6.551224788,0.0,0.555355664,0.0,0.6379566559,0.0,0.5898506321,0.0,0.6043063836
190,blood_transfusion,MCAR(0.2),ice,0.0295733784,0.08209670985,0.0,0.0,0.03960246861,0.1161966048,0.00784,0.251,0.2324696129,0.0,0.5841980134,0.889,0.0,0.5487275475,0.0,0.6155414072,0.0,0.5838392293,0.0,0.5886838698
191,blood_transfusion,MCAR(0.2),OT,0.1054146248,0.1116437075,0.0,0.0,0.08727372293,0.1437620159,5.31e-05,0.0248,0.02026385799,0.0,0.5985847778,112.0,0.0,0.5733179702,0.0,0.6210712384,0.0,0.594486586,0.0,0.6054633168
192,blood_transfusion,MCAR(0.2),softimpute,0.1154256442,0.1154256442,0.0,0.0,0.08632776895,0.1480702417,7.930000000000001e-35,7.48e-17,0.0,0.0,0.5861589003,4.282574574,0.0,0.5408977987,0.0,0.5974552736,0.0,0.5969590946,0.0,0.6093234344
193,blood_transfusion,MCAR(0.2),GAIN,0.1060106522,0.1077539656,0.0,0.0,0.07485998879,0.1374810814,3.71e-06,0.00638,0.005892794601,0.0,0.5849345264,19.07042861,0.0,0.5807155408,0.0,0.6280866312,0.0,0.5579540224,0.0,0.5729819113
194,breast_cancer_diagnostic,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,1.852712409,1.59e-34,8.5e-17,0.0,0.0,0.9613779549,6.6e-06,0.0,0.9653953526,0.0,0.9557957103,0.0,0.9559334667,0.0,0.9683872901
